sut,op,answer_key_codes,arm,triggered,missed
features,UNKNOWN,404,llm,404,-
features,UNKNOWN,404,manual,-,404
features,UNKNOWN,404,evomaster,-,404
features,addConfiguration,500,llm,500,-
features,addConfiguration,500,manual,-,500
features,addConfiguration,500,evomaster,500,-
features,addExcludesConstraintToProduct,500,llm,500,-
features,addExcludesConstraintToProduct,500,manual,500,-
features,addExcludesConstraintToProduct,500,evomaster,500,-
features,addFeatureToConfiguration,500,llm,500,-
features,addFeatureToConfiguration,500,manual,500,-
features,addFeatureToConfiguration,500,evomaster,500,-
features,addFeatureToProduct,500,llm,500,-
features,addFeatureToProduct,500,manual,500,-
features,addFeatureToProduct,500,evomaster,500,-
features,addRequiresConstraintToProduct,500,llm,500,-
features,addRequiresConstraintToProduct,500,manual,500,-
features,addRequiresConstraintToProduct,500,evomaster,500,-
features,deleteConfiguration,500,llm,500,-
features,deleteConfiguration,500,manual,-,500
features,deleteConfiguration,500,evomaster,500,-
features,deleteConstraint,404,llm,404,-
features,deleteConstraint,404,manual,404,-
features,deleteConstraint,404,evomaster,-,404
features,deleteFeature,500,llm,500,-
features,deleteFeature,500,manual,500,-
features,deleteFeature,500,evomaster,500,-
features,deleteFeatureOfProduct,400;500,llm,400;500,-
features,deleteFeatureOfProduct,400;500,manual,500,400
features,deleteFeatureOfProduct,400;500,evomaster,500,400
features,deleteProductByName,500,llm,500,-
features,deleteProductByName,500,manual,500,-
features,deleteProductByName,500,evomaster,500,-
features,getAllProducts,405;406,llm,405;406,-
features,getAllProducts,405;406,manual,405,406
features,getAllProducts,405;406,evomaster,-,405;406
features,getConfigurationActivedFeatures,405;500,llm,405;500,-
features,getConfigurationActivedFeatures,405;500,manual,500,405
features,getConfigurationActivedFeatures,405;500,evomaster,500,405
features,getConfigurationsForProduct,405,llm,405,-
features,getConfigurationsForProduct,405,manual,-,405
features,getConfigurationsForProduct,405,evomaster,-,405
features,getFeaturesForProduct,405;500,llm,405;500,-
features,getFeaturesForProduct,405;500,manual,500,405
features,getFeaturesForProduct,405;500,evomaster,500,405
features,getProductByName,500,llm,500,-
features,getProductByName,500,manual,500,-
features,getProductByName,500,evomaster,500,-
features,updateFeatureOfProduct,500,llm,500,-
features,updateFeatureOfProduct,500,manual,500,-
features,updateFeatureOfProduct,500,evomaster,500,-
ncs,UNKNOWN,404,llm,404,-
ncs,UNKNOWN,404,manual,404,-
ncs,UNKNOWN,404,evomaster,-,404
ncs,bessjUsingGET,400,llm,400,-
ncs,bessjUsingGET,400,manual,400,-
ncs,bessjUsingGET,400,evomaster,400,-
ncs,checkTriangleUsingGET,400,llm,400,-
ncs,checkTriangleUsingGET,400,manual,400,-
ncs,checkTriangleUsingGET,400,evomaster,-,400
ncs,expintUsingGET,400,llm,400,-
ncs,expintUsingGET,400,manual,400,-
ncs,expintUsingGET,400,evomaster,400,-
ncs,fisherUsingGET,400,llm,400,-
ncs,fisherUsingGET,400,manual,400,-
ncs,fisherUsingGET,400,evomaster,400,-
ncs,gammqUsingGET,400,llm,400,-
ncs,gammqUsingGET,400,manual,400,-
ncs,gammqUsingGET,400,evomaster,400,-
ncs,remainderUsingGET,400,llm,400,-
ncs,remainderUsingGET,400,manual,400,-
ncs,remainderUsingGET,400,evomaster,400,-
scs,UNKNOWN,404,llm,404,-
scs,UNKNOWN,404,manual,404,-
scs,UNKNOWN,404,evomaster,-,404
scs,calcUsingGET,400,llm,400,-
scs,calcUsingGET,400,manual,400,-
scs,calcUsingGET,400,evomaster,-,400
scs,costfunsUsingGET,400,llm,400,-
scs,costfunsUsingGET,400,manual,400,-
scs,costfunsUsingGET,400,evomaster,-,400
scs,fileSuffixUsingGET,400,llm,400,-
scs,fileSuffixUsingGET,400,manual,-,400
scs,fileSuffixUsingGET,400,evomaster,-,400
scs,notyPevarUsingGET,400,llm,400,-
scs,notyPevarUsingGET,400,manual,400,-
scs,notyPevarUsingGET,400,evomaster,-,400
scs,ordered4UsingGET,400,llm,400,-
scs,ordered4UsingGET,400,manual,-,400
scs,ordered4UsingGET,400,evomaster,-,400
