sut,op,llm,manual
features,addConfiguration,5.0,0.0
features,addExcludesConstraintToProduct,6.0,1.0
features,addFeatureToConfiguration,4.0,1.0
features,addFeatureToProduct,6.0,1.0
features,addProduct,4.0,1.0
features,addRequiresConstraintToProduct,5.0,2.0
features,deleteConfiguration,4.0,0.0
features,deleteConstraint,6.0,4.0
features,deleteFeature,4.0,1.0
features,deleteFeatureOfProduct,4.0,1.0
features,deleteProductByName,3.0,1.0
features,getAllProducts,3.0,0.0
features,getConfigurationActivedFeatures,4.0,1.0
features,getConfigurationWithNameForProduct,5.0,2.0
features,getConfigurationsForProduct,3.0,1.0
features,getFeaturesForProduct,4.0,2.0
features,getProductByName,5.0,6.0
features,updateFeatureOfProduct,5.0,1.0
ncs,bessjUsingGET,11.0,7.0
ncs,checkTriangleUsingGET,13.0,7.0
ncs,expintUsingGET,10.0,7.0
ncs,fisherUsingGET,12.0,8.0
ncs,gammqUsingGET,11.0,8.0
ncs,remainderUsingGET,12.0,7.0
scs,calcUsingGET,10.0,7.0
scs,cookieUsingGET,5.0,4.0
scs,costfunsUsingGET,6.0,7.0
scs,dateParseUsingGET,7.0,3.0
scs,fileSuffixUsingGET,5.0,3.0
scs,notyPevarUsingGET,6.0,4.0
scs,ordered4UsingGET,5.0,3.0
scs,patUsingGET,5.0,3.0
scs,regexUsingGET,5.0,3.0
scs,text2txtUsingGET,6.0,3.0
scs,titleUsingGET,8.0,3.0
