id,title,authors,year,venue,source_db,search_string,v1_decision,v1_reason,reviewer
1,Leveraging Large Language Models to Improve REST API Testing,Myeongsoo Kim; Tyler Stennett; Dhruv Shah; Saurabh Sinha; Alessandro Orso,2024,ICSE-NIER 2024 / arXiv,arXiv / ICSE,String 1,INCLUDE,IC1-IC5: LLM (GPT-3.5) improves REST API testing from OpenAPI + empirical (precision/recall + valid-input rate),NTD
2,KAT: Dependency-aware Automated API Testing with Large Language Models,Tri Le; Thien Tran; Duy Cao; Vy Le; Tien Nguyen; Vu Nguyen,2024,ICST 2024 / arXiv,arXiv / IEEE ICST,String 1,INCLUDE,IC1-IC5: LLM (GPT-3.5) dependency-aware REST API test generation + coverage/status-code metrics,NTD
3,You Can REST Now: Automated REST API Documentation and Testing via LLM-Assisted Request Mutations,Alix Decrop; Xavier Devroey; Mike Papadakis; Pierre-Yves Schobbens; Gilles Perrouin,2024,arXiv / preprint,arXiv,String 1,INCLUDE,IC1-IC5: LLM-assisted REST API testing (spec inference + black-box) with empirical route coverage and 5xx triggering,NTD
4,APITestGenie: Automated API Test Generation through Generative AI,Andre Pereira; Bruno Lima; Joao Pascoal Faria,2024,AST 2026 / arXiv (2024 preprint),arXiv,String 1,INCLUDE,IC1-IC5: LLM (GPT-4-Turbo) generates executable API tests from requirements + OpenAPI; empirical success rate,NTD
5,Automating REST API Postman Test Cases Using LLM,S Deepika Sri; Mohammed Aadil S; Sanjjushri Varshini R; Raja CSP Raman; Gopinath Rajagopal; S Taranath Chan,2024,arXiv / preprint,arXiv,String 1,INCLUDE,IC1-IC5: LLM generates REST API Postman test cases (verify metric depth at full-text),NTD
6,Test Amplification for REST APIs Using Out-of-the-box Large Language Models,Tolgahan Bardakci; Serge Demeyer; Mutlu Beyazit,2025,arXiv / preprint,arXiv,String 1,EXCLUDE,EC5: test amplification/augmentation of existing suites - not test generation,NTD
7,Test Amplification for REST APIs via Single and Multi-Agent LLM Systems,Robbe Nooyens; Tolgahan Bardakci; Mutlu Beyazit; Serge Demeyer,2025,ICTSS 2025 / LNCS,SpringerLink,String 1,EXCLUDE,EC5: test amplification (augment existing tests) - not test generation,NTD
8,Augmenting API Security Testing with Automated LLM-Driven Test Generation,Emil Marian Pasca; Rudolf Erdei; Daniela Delinschi; Oliviu Matei,2024,ICEUTE/CISIS 2024 / Springer LNNS,SpringerLink,String 1,Unsure,,NTD
9,An Intelligent Agent for Automated Test Generation from OpenAPI Specifications,Ricardo F. Vilela; Pietra Soares; Stevao Alves de Andrade; Eduardo B. F. Santos; Williamson Silva; Pedro H. D. Valle,2025,Anais do 2nd WBOTS,SBC OpenLib,String 1,INCLUDE,IC1-IC5: LLM agent generates test collections from OpenAPI (workshop paper - check length/format at full-text),NTD
10,Combining TSL and LLM to Automate REST API Testing: A Comparative Study,Thiago Barradas; Aline Paes; Vania de Oliveira Neves,2025,SBES 2025 / arXiv,arXiv,String 1,INCLUDE,IC1-IC5: LLM + Test Specification Language generate REST API tests from OpenAPI; coverage + mutation score,NTD
11,RESTifAI: LLM-Based Workflow for Reusable REST API Testing,Leon Kogler; Maximilian Ehrhart; Benedikt Dornauer; Eduard Paul Enoiu,2026,ICSE 2026 Demonstrations / arXiv,arXiv / ICSE,String 1,INCLUDE,IC1-IC5: LLM workflow generates reusable REST API tests; operation/line coverage + bug detection,NTD
12,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Myeongsoo Kim; Tyler Stennett; Saurabh Sinha; Alessandro Orso,2025,ICSE 2025 / arXiv,arXiv / ICSE,String 1,INCLUDE,IC1-IC5: LLM (GPT) + MARL + semantic graphs REST API test generation; coverage + fault detection,NTD
13,AutoRestTest: A Tool for Automated REST API Testing Using LLMs and MARL,Tyler Stennett; Myeongsoo Kim; Saurabh Sinha; Alessandro Orso,2025,ICSE 2025 Demonstrations / arXiv,arXiv / ICSE,String 1,INCLUDE,IC1-IC5: same tool as #12 (demo paper) - check duplication/superseding at full-text,NTD
14,LlamaRestTest: Effective REST API Testing with Small Language Models,Myeongsoo Kim; Saurabh Sinha; Alessandro Orso,2025,FSE 2025 / PACMSE,arXiv / ACM,String 1,INCLUDE,IC1-IC5: fine-tuned small LM (Llama3-8B) REST API testing; coverage + fault detection vs EvoMaster/RESTler,NTD
15,LogiAgent: Automated Logical Testing for REST Systems with LLM-Based Multi-Agents,Ke Zhang; Chenxi Zhang; Chong Wang; Chi Zhang; YaChen Wu; Zhenchang Xing; Yang Liu; Qingshan Li; Xin Peng,2025,arXiv preprint 2025,arXiv,String 1,INCLUDE,IC1-IC5: LLM (GPT-4o-mini) multi-agent logical testing for REST; coverage + logical bugs + 5xx crashes,NTD
16,A Framework for Testing and Adapting REST APIs as LLM Tools,Jayachandu Bandlamudi; Ritwik Chaudhuri; Neelamadhav Gantayat; Kushal Mukherjee; Prerna Agarwal; Renuka Sindhgatta; Sameep Mehta,2025,arXiv / preprint,arXiv,String 1,EXCLUDE,EC4: REST APIs used AS tools for LLMs (reverse direction) - not generating tests for the API,NTD
17,Generating REST API Tests With Descriptive Names,Philip Garrett; Juan P. Galeotti; Andrea Arcuri; Alexander Poth; Olsi Rrjolli,2025,arXiv / preprint,arXiv,String 1,EXCLUDE,EC5: test naming (maintenance phase) - not test generation,NTD
18,RestGPT: Connecting Large Language Models with Real-World RESTful APIs,Yifan Song; Weimin Xiong; Dawei Zhu; Wenhao Wu; Han Qian; Mingbo Song; Hailiang Huang; Cheng Li; Ke Wang; Rong Yao; Ye Tian; Sujian Li,2023,arXiv / preprint,arXiv,String 1,EXCLUDE,EC4: LLM consuming/calling APIs (reverse direction) - not testing REST APIs,NTD
19,NESTful: A Benchmark for Evaluating LLMs on Nested Sequences of API Calls,Kinjal Basu; Ibrahim Abdelaziz; Kiran Kate; Mayank Agarwal; Maxwell Crouse; Yara Rizk; Kelsey Bradford; Asim Munawar; Sadhana Kumaravel; Saurabh Goyal; Xin Wang; Luis A. Lastras; Pavan Kapanipathi,2024,arXiv / preprint,arXiv,String 1,EXCLUDE,EC4: benchmark of LLM nested-API-call ability - not REST API test generation,NTD
20,Generating OpenAPI Specifications from Online API Documentation with Large Language Models,Koren Lazar; Matan Vetzler; Kiran Kate; Jason Tsay; David Boaz; Himanshu Gupta; Avraham Shinnar; Rohith D. Vallam; David Amid; Esther Goldbraich; Jim Laredo; Ateret Anaby Tavor,2025,ACL 2025 Industry Track,ACL Anthology,String 1,EXCLUDE,EC4: LLM generates the OpenAPI specification (reverse direction) - not tests for the API,NTD
21,Automated Test Generation for REST APIs: No Time to Rest Yet,Myeongsoo Kim; Qi Xin; Saurabh Sinha; Alessandro Orso,2022,ISSTA 2022,arXiv / ACM,String 2,INCLUDE,IC4 baseline + IC5: empirical comparison of 10 REST API test-generation tools; quantitative coverage/fault data,NTD
22,RESTful API Automated Test Case Generation with EvoMaster,Andrea Arcuri,2019,ACM TOSEM 2019,ACM Digital Library,String 2,INCLUDE,IC4 baseline: foundational automated REST API test generation; empirical coverage + 38 real bugs vs manual tests,NTD
23,Automatic Generation of Test Cases for REST APIs: A Specification-Based Approach,Hamza Ed-douibi; Javier Luis Canovas Izquierdo; Jordi Cabot,2018,EDOC 2018,IEEE / PDF,String 2,INCLUDE,IC4 baseline: specification-based REST API test generation (check whether superseded at full-text),NTD
24,RESTler: Stateful REST API Fuzzing,Vaggelis Atlidakis; Patrice Godefroid; Marina Polishchuk,2019,ICSE 2019,Microsoft Research / IEEE,String 2,INCLUDE,IC4 baseline: stateful REST API fuzzing from API specification,NTD
25,RESTTESTGEN: Automated Black-Box Testing of RESTful APIs,Emanuele Viglianisi; Michael Dallago; Mariano Ceccato,2020,ICST 2020,Researchr / ICST,String 2,INCLUDE,IC4 baseline: automated black-box REST API testing from OpenAPI,NTD
26,Morest: Model-based RESTful API Testing with Execution Feedback,Yi Liu; Yuekang Li; Gelei Deng; Yang Liu; Ruiyuan Wan; Runchao Wu; Dandan Ji; Shiheng Xu; Minli Bao,2022,ICSE 2022,arXiv / ACM,String 2,INCLUDE,IC4 baseline: model-based REST API testing; coverage + 44 bugs vs RESTler/RestTestGen/EvoMaster,NTD
27,QuickREST: Property-based Test Generation of OpenAPI-Described RESTful APIs,Stefan Karlsson; Adnan Causevic; Daniel Sundmark,2019,arXiv / ICST Workshops 2020,arXiv,String 2,INCLUDE,IC4 baseline: property-based test generation from OpenAPI documents,NTD
28,COTS: Connected OpenAPI Test Synthesis for RESTful Applications,Christian Bartolo Burlo; Adrian Francalanza; Alceste Scalas; Emilio Tuosto,2024,COORDINATION 2024 / LNCS,SpringerLink,String 2,INCLUDE,IC4 baseline: connected OpenAPI test synthesis for RESTful applications,NTD
29,Automated Specification-Based Testing of REST APIs,Ovidiu Banias; Diana Florea; Robert Gyalai; Daniel-Ioan Curiac,2021,Sensors 2021,MDPI,String 2,INCLUDE,IC4 baseline: specification-based REST API testing approach,NTD
30,DeepREST: Automated Test Case Generation for REST APIs Exploiting Deep Reinforcement Learning,Davide Corradini; Zeno Montolli; Michele Pasqua; Mariano Ceccato,2024,ASE 2024 / arXiv,arXiv / ASE,String 2,INCLUDE,IC4 baseline: deep-RL REST API test generation; coverage + faults vs RestTestGen/Morest/RESTler/ARAT-RL,NTD
