mutant_id,arm,killed,n_oracle,n_now_failing_oracle
m001,llm,0,78,0
m001,manual,0,50,0
m001,evomaster,0,30,0
m002,llm,0,78,0
m002,manual,0,50,0
m002,evomaster,1,30,2
m003,llm,0,78,0
m003,manual,0,50,0
m003,evomaster,0,30,0
m004,llm,0,78,0
m004,manual,0,50,0
m004,evomaster,1,30,2
m005,llm,0,78,0
m005,manual,0,50,0
m005,evomaster,1,30,2
m006,llm,0,78,0
m006,manual,0,50,0
m006,evomaster,1,30,2
m007,llm,0,78,0
m007,manual,0,50,0
m007,evomaster,1,30,2
m008,llm,0,78,0
m008,manual,0,50,0
m008,evomaster,1,30,1
m009,llm,0,78,0
m009,manual,0,50,0
m009,evomaster,0,30,0
m010,llm,0,78,0
m010,manual,0,50,0
m010,evomaster,0,30,0
m011,llm,0,78,0
m011,manual,0,50,0
m011,evomaster,0,30,0
m012,llm,0,78,0
m012,manual,0,50,0
m012,evomaster,0,30,0
m013,llm,0,78,0
m013,manual,0,50,0
m013,evomaster,0,30,0
m014,llm,0,78,0
m014,manual,0,50,0
m014,evomaster,0,30,0
m015,llm,0,78,0
m015,manual,0,50,0
m015,evomaster,0,30,0
m016,llm,0,78,0
m016,manual,0,50,0
m016,evomaster,0,30,0
m017,llm,0,78,0
m017,manual,0,50,0
m017,evomaster,0,30,0
m018,llm,0,78,0
m018,manual,0,50,0
m018,evomaster,0,30,0
m019,llm,0,78,0
m019,manual,0,50,0
m019,evomaster,0,30,0
m020,llm,0,78,0
m020,manual,0,50,0
m020,evomaster,0,30,0
m021,llm,0,78,0
m021,manual,0,50,0
m021,evomaster,0,30,0
m022,llm,0,78,0
m022,manual,0,50,0
m022,evomaster,0,30,0
m023,llm,0,78,0
m023,manual,0,50,0
m023,evomaster,0,30,0
m024,llm,0,78,0
m024,manual,0,50,0
m024,evomaster,0,30,0
m025,llm,0,78,0
m025,manual,0,50,0
m025,evomaster,1,30,1
m026,llm,0,78,0
m026,manual,0,50,0
m026,evomaster,0,30,0
m027,llm,0,78,0
m027,manual,0,50,0
m027,evomaster,0,30,0
m028,llm,0,78,0
m028,manual,0,50,0
m028,evomaster,0,30,0
m029,llm,0,78,0
m029,manual,0,50,0
m029,evomaster,0,30,0
m030,llm,0,78,0
m030,manual,0,50,0
m030,evomaster,0,30,0
m031,llm,0,78,0
m031,manual,0,50,0
m031,evomaster,0,30,0
m032,llm,0,78,0
m032,manual,0,50,0
m032,evomaster,0,30,0
m033,llm,0,78,0
m033,manual,0,50,0
m033,evomaster,0,30,0
m034,llm,0,78,0
m034,manual,0,50,0
m034,evomaster,0,30,0
m035,llm,0,78,0
m035,manual,0,50,0
m035,evomaster,0,30,0
m036,llm,0,78,0
m036,manual,0,50,0
m036,evomaster,0,30,0
m037,llm,0,78,0
m037,manual,0,50,0
m037,evomaster,0,30,0
m038,llm,0,78,0
m038,manual,0,50,0
m038,evomaster,0,30,0
m039,llm,0,78,0
m039,manual,0,50,0
m039,evomaster,0,30,0
m040,llm,0,78,0
m040,manual,0,50,0
m040,evomaster,0,30,0
m041,llm,0,78,0
m041,manual,0,50,0
m041,evomaster,0,30,0
m042,llm,0,78,0
m042,manual,0,50,0
m042,evomaster,0,30,0
m043,llm,0,78,0
m043,manual,0,50,0
m043,evomaster,0,30,0
m044,llm,0,78,0
m044,manual,0,50,0
m044,evomaster,0,30,0
m045,llm,0,78,0
m045,manual,0,50,0
m045,evomaster,0,30,0
m046,llm,0,78,0
m046,manual,0,50,0
m046,evomaster,0,30,0
m047,llm,0,78,0
m047,manual,0,50,0
m047,evomaster,0,30,0
m048,llm,0,78,0
m048,manual,0,50,0
m048,evomaster,0,30,0
m049,llm,0,78,0
m049,manual,0,50,0
m049,evomaster,1,30,2
m050,llm,0,78,0
m050,manual,0,50,0
m050,evomaster,1,30,1
m051,llm,0,78,0
m051,manual,0,50,0
m051,evomaster,1,30,2
m052,llm,0,78,0
m052,manual,0,50,0
m052,evomaster,0,30,0
m053,llm,0,78,0
m053,manual,0,50,0
m053,evomaster,0,30,0
m054,llm,0,78,0
m054,manual,0,50,0
m054,evomaster,0,30,0
m055,llm,0,78,0
m055,manual,0,50,0
m055,evomaster,0,30,0
m056,llm,0,78,0
m056,manual,0,50,0
m056,evomaster,0,30,0
m057,llm,0,78,0
m057,manual,0,50,0
m057,evomaster,0,30,0
m058,llm,0,78,0
m058,manual,0,50,0
m058,evomaster,0,30,0
m059,llm,0,78,0
m059,manual,0,50,0
m059,evomaster,0,30,0
m060,llm,0,78,0
m060,manual,0,50,0
m060,evomaster,0,30,0
m061,llm,0,78,0
m061,manual,0,50,0
m061,evomaster,0,30,0
m062,llm,0,78,0
m062,manual,0,50,0
m062,evomaster,0,30,0
m063,llm,0,78,0
m063,manual,0,50,0
m063,evomaster,0,30,0
m064,llm,0,78,0
m064,manual,0,50,0
m064,evomaster,0,30,0
m065,llm,0,78,0
m065,manual,0,50,0
m065,evomaster,0,30,0
m066,llm,0,78,0
m066,manual,0,50,0
m066,evomaster,0,30,0
m067,llm,0,78,0
m067,manual,0,50,0
m067,evomaster,0,30,0
m068,llm,0,78,0
m068,manual,0,50,0
m068,evomaster,1,30,2
m069,llm,0,78,0
m069,manual,0,50,0
m069,evomaster,1,30,2
m070,llm,0,78,0
m070,manual,0,50,0
m070,evomaster,0,30,0
